ID_REF      hsa-miR-3941  hsa-miR-3171  hsa-miR-548u  hsa-miR-1293  ...  hsa-miR-302a  hsa-miR-1262  hsa-miR-1909*  hsa-miR-137
GSM1688438      1.164881      2.336888      1.664709      1.264476  ...      2.556085      1.638767       2.424853     1.178834
GSM1688446      1.133179      1.981596      1.296700      1.296188  ...      2.033806      0.989758       1.813107     0.812831
GSM1688454      1.286142      1.769882      1.624736      1.121132  ...      2.440329      1.446162       2.378365     0.865092
GSM1688462      1.238327      2.144629      2.257090      1.086808  ...      2.422361      1.168408       2.887652     0.900290
GSM1688478      1.123369      1.852179      1.507747      0.800118  ...      2.224340      0.994931       2.288917     1.154126
GSM1688486      0.951806      2.173054      2.038585      1.004692  ...      2.778908      1.477533       2.656346     1.286629
GSM1688494      0.725456      1.611361      1.366461      0.928561  ...      2.162974      1.615414       2.589752     0.417026
GSM1688510      1.038595      1.867581      1.610032      1.047027  ...      2.234777      1.357928       2.230184     0.943006
GSM1688525      0.810325      1.677242      1.686542      1.143670  ...      2.556751      0.975622       3.515798     0.850942
GSM1688533      1.347158      1.844860      1.801044      1.223955  ...      2.274897      1.222266       1.968312     0.968924
GSM1688549      1.202174      2.001303      2.227041      0.973164  ...      2.746969      0.961039       2.115959     0.758925
GSM1688564      1.125216      2.030082      1.747864      1.099708  ...      2.324580      0.823014       2.672702     0.641348

[15 rows x 1071 columns]
