config,alpha,auc_l1,auc_llr
D17 case,0.030888435964774818,0.915692274052475,0.9483819241982492
D17 case,0.0372759372031494,0.9157435131195335,0.9483783284742456
D17 case,0.04498432668969444,0.9158230077745365,0.9483650874635567
D17 case,0.054286754393238594,0.915957337220601,0.9483459183673484
D17 case,0.0655128556859551,0.9159070699708466,0.9483671525753145
D17 case,0.07906043210907697,0.9157912050534491,0.9483160835762875
D17 case,0.09540954763499938,0.9156233236151596,0.9483313411078715
D17 case,0.1151395399326447,0.915280636540329,0.9482896258503386
D17 case,0.13894954943731375,0.9147711856171046,0.9482549319727903
D17 case,0.16768329368110074,0.913869169096211,0.9481028668610294
D17 case,0.20235896477251566,0.9126434159378038,0.9476053935860049
D17 case,0.2442053094548651,0.9109641156462567,0.9465762147716205
D17 case,0.29470517025518095,0.9091168367346948,0.9442895772594746
D17 case,0.35564803062231287,0.9066998056365404,0.9403195578231295
D17 case,0.42919342601287763,0.9025677842565593,0.9316037657920299
D17 case,0.517947467923121,0.898035641399416,0.917263022351798
D17 case,0.6250551925273969,0.8922963313896994,0.8954246355685129
D17 case,0.7543120063354615,0.8851866618075798,0.8639958211856178
D17 case,0.9102981779915218,0.8737843294460642,0.8257863459669565
D17 case,1.0985411419875584,0.8578843537414977,0.7838659378036932
D17 case,1.325711365590108,0.8408195821185606,0.744758551992225
D17 case,1.5998587196060574,0.8161361758989304,0.7041373177842577
D17 case,1.9306977288832496,0.7889054178814385,0.6650426627793985
D17 case,2.329951810515372,0.757800971817298,0.6345897473275025
D17 case,2.811768697974228,0.7301741010689987,0.6092568027210873
D17 case,3.3932217718953264,0.6974219144800787,0.5860018950437303
D17 case,4.094915062380423,0.6704859815354717,0.5667360058309031
D17 case,4.941713361323833,0.6458246598639448,0.5544408163265292
D17 case,5.963623316594643,0.6216965014577266,0.5413324101068994
D17 case,7.196856730011514,0.6021273323615148,0.5360959912536447
D17 case,8.68511373751352,0.5860115160349849,0.5285023080660833
D17 case,10.481131341546853,0.5707286929057339,0.5232918124392609
D17 case,12.648552168552959,0.5600307094266279,0.5165880952380949
D17 case,15.264179671752318,0.5476213556851313,0.5200945821185621
D17 case,18.420699693267146,0.5404983965014586,0.5128487366375118
D17 case,22.229964825261934,0.5336909135082603,0.5103102283770649
D17 case,26.826957952797247,0.5268733722060253,0.5077236394557822
D17 case,32.374575428176435,0.5218179057337214,0.5086128279883381
D17 case,39.06939937054613,0.5207647473275026,0.5046896744412062
D17 case,47.1486636345739,0.5163365889212832,0.5056367589893102
D17 case,56.89866029018293,0.5144361516034986,0.5009908163265311
D17 case,68.66488450042998,0.5125087706511172,0.5038423226433427
D17 case,82.86427728546842,0.5093999028182701,0.5023800777453842
D17 case,100.0,0.5098501214771628,0.5019406219630704
D17 random,0.01,0.771645845481047,0.9469783041788146
D17 random,0.012067926406393288,0.7717077259475208,0.9469530612244899
D17 random,0.014563484775012436,0.7717051749271128,0.946971064139942
D17 random,0.017575106248547922,0.7714364674441221,0.9470040087463537
D17 random,0.021209508879201904,0.7712668610301271,0.9469983479105943
D17 random,0.025595479226995357,0.7709888969873652,0.9470403790087482
D17 random,0.030888435964774818,0.7706562439261428,0.9471330174927084
D17 random,0.0372759372031494,0.770335204081633,0.9471467444120522
D17 random,0.04498432668969444,0.7695482021379983,0.947279907677356
D17 random,0.054286754393238594,0.7689017492711367,0.9473615160349854
D17 random,0.0655128556859551,0.7680334548104951,0.9474230077745402
D17 random,0.07906043210907697,0.7668609572400401,0.9474471088435379
D17 random,0.09540954763499938,0.7651075072886285,0.9473879980563652
D17 random,0.1151395399326447,0.7632577502429555,0.9468904275996114
D17 random,0.13894954943731375,0.7609452137998057,0.9461839893100094
D17 random,0.16768329368110074,0.758571550048592,0.944869509232266
D17 random,0.20235896477251566,0.7556100097181732,0.9415070942662781
D17 random,0.2442053094548651,0.752746963070942,0.936327235179785
D17 random,0.29470517025518095,0.7509426870748301,0.9270017249757054
D17 random,0.35564803062231287,0.7488608843537425,0.9127910592808548
D17 random,0.42919342601287763,0.7443114431486891,0.8928679786200199
D17 random,0.517947467923121,0.7411380952380946,0.8649025753158402
D17 random,0.6250551925273969,0.7369715014577253,0.8349499028182695
D17 random,0.7543120063354615,0.7308841107871699,0.7999090621963083
D17 random,0.9102981779915218,0.7195945335276959,0.7600373906705544
D17 random,1.0985411419875584,0.7095121477162292,0.7203706754130219
D17 random,1.325711365590108,0.6953198007774537,0.6810057823129241
D17 random,1.5998587196060574,0.6800926384839656,0.6457903061224479
D17 random,1.9306977288832496,0.6634710155490775,0.6157166666666659
D17 random,2.329951810515372,0.6427838921282801,0.5915798347910587
D17 random,2.811768697974228,0.6276983479105933,0.5677081389698748
D17 random,3.3932217718953264,0.611179373177843,0.5529671039844509
D17 random,4.094915062380423,0.5957727891156464,0.5392228862973762
D17 random,4.941713361323833,0.5842721574344013,0.5299676627793976
D17 random,5.963623316594643,0.5716262390670566,0.5227001700680266
D17 random,7.196856730011514,0.5572128765792038,0.5187660106899901
D17 random,8.68511373751352,0.552446185617104,0.5137227648202142
D17 random,10.481131341546853,0.5442983965014573,0.5133247084548098
D17 random,12.648552168552959,0.5337784985422741,0.5089365403304179
D17 random,15.264179671752318,0.5256958697764813,0.5087441448007785
D17 random,18.420699693267146,0.5230452137998053,0.5071005344995155
D17 random,22.229964825261934,0.5207445821185621,0.5035693877551023
D17 random,26.826957952797247,0.5166704324586976,0.501595821185617
D17 random,32.374575428176435,0.5161613459669573,0.5026791302235184
D17 random,39.06939937054613,0.5163926141885323,0.5015937074829927
D17 random,47.1486636345739,0.5066574344023334,0.5009554421768708
D17 random,56.89866029018293,0.5090708697764821,0.5019999999999999
D17 random,68.66488450042998,0.506321914480078,0.5022142371234207
D17 random,82.86427728546842,0.507108673469388,0.5028649416909624
D17 random,100.0,0.5060388969873659,0.5000094752186581
