****** PSID DATA CENTER ************************* 
****** Variable labels for JobID = 350695 ******* 

Variable    Labels
ER66173    ACCURACY OF RP HOURS WORKED LAST YEAR   
ER66174    BC14B3 WTR ADDITIONAL OT HOURS LAST YEAR
ER66175    BC14B4 AVERAGE OVERTIME HOURS LAST YEAR 
ER66176    BC14B4 AVERAGE OVERTIME HOURS PER WHAT  
ER66177    ACCURACY OF RP OT HOURS WRKD LAST YR    
ER66178    BC16-17 MAIN JOB INDICATOR              
ER66179    BC6 BEGINNING MONTH--JOB 1              
ER66180    BC6 BEGINNING YEAR--JOB 1               
ER66181    BC6 ENDING MONTH--JOB 1                 
ER66182    BC6 ENDING YEAR--JOB 1                  
ER66183    BC6 WTR EMPLOYED--JOB 1 JAN             
ER66184    BC6 WTR EMPLOYED--JOB 1 FEB             
ER66185    BC6 WTR EMPLOYED--JOB 1 MAR             
ER66186    BC6 WTR EMPLOYED--JOB 1 APR             
ER66187    BC6 WTR EMPLOYED--JOB 1 MAY             
ER66188    BC6 WTR EMPLOYED--JOB 1 JUN             
ER66189    BC6 WTR EMPLOYED--JOB 1 JUL             
ER66190    BC6 WTR EMPLOYED--JOB 1 AUG             
ER66191    BC6 WTR EMPLOYED--JOB 1 SEP             
ER66192    BC6 WTR EMPLOYED--JOB 1 OCT             
ER66193    BC6 WTR EMPLOYED--JOB 1 NOV             
ER66194    BC6 WTR EMPLOYED--JOB 1 DEC             
ER66195    BC20 MAIN OCC FOR JOB 1: 2010 CODE (RP) 
ER66196    BC21 MAIN IND FOR JOB 1: 2012 CODE (RP) 
ER66197    BC21B AVERAGE COMMUTE TIME (RP)         
ER66198    BC22 WORK SELF/OTR?--JOB 1              
ER66199    BC23 CORP/UNCORP BUS--JOB 1             
ER66200    BC24 WORK FOR GOVT?--JOB 1              
ER66201    BC25A NUMBER EMPLOYED AT WORK LOCATION  
ER66202    BC25B WTR 200 OR MORE                   
ER66203    BC25C WTR 100 OR MORE                   
ER66204    BC25D WTR 50 OR MORE                    
ER66205    BC25E WTR 500 OR MORE                   
ER66206    BC25F WTR 1000 OR MORE                  
ER66207    BC26 JOB NOW UNION? (RP-E)              
ER66208    BC27 BELONG UNION? (RP-E)               
ER66209    BC28A WTR JOB REQUIRES COMPUTER USE     
ER66210    BC29 SLRY/HRLY/OTR (RP-E)               
ER66211    BC30 SALARY AMOUNT                      
ER66212    BC30 SALARY PER WHAT                    
ER66213    BC31 WTR SAL PD OT (RP-E)               
ER66214    BC32 HOW PAID FOR OT                    
ER66215    BC32A EXACT OT PAY IF SALARIED          
ER66216    BC32A EXACT OT PAY PER                  
ER66217    BC33 HOURLY REGULAR RATE                
ER66218    BC34 OT DIFFERENTIAL 1ST                
ER66219    BC34 OT DIFFERENTIAL 2ND                
ER66220    BC34 OT DIFFERENTIAL 3RD                
ER66221    BC34A EXACT OT PAY IF HOURLY            
ER66222    BC34A EXACT OT PAY PER                  
ER66223    BC36 AVG TIPS/COMM                      
ER66224    BC36 TIPS/COMM PER WHAT                 
ER66225    BC37 AVG TIPS/COMM                      
ER66226    BC37 TIPS/COMM PER WHAT                 
ER66227    BC38 HOW PAID-OTR (RP-E)                
ER66228    BC39 OT RATE                            
ER66229    BC39ACKPT WTR ONE OR MORE CURRENT JOBS  
ER66230    BC39A HOURS WORKED PER WEEK ON CMJ      
ER66231    BC41 YRS PRES EMP (RP-E)                
ER66232    BC41 MOS PRES EMP (RP-E)                
ER66233    BC41 WKS PRES EMP (RP-E)                
ER66234    BC43 HOURS/WEEK WORKED--JOB 1           
ER66235    ACCURACY OF HR/WK WORKED--RP JOB 1      
ER66236    BC44 WTR WORKED OT--JOB 1               
ER66237    BC45 AMT OF OT WORKED--JOB 1            
ER66238    BC45 OT TIME UNIT--JOB 1                
ER66239    ACCURACY OF OT--RP JOB 1                
ER66240    BC46 AMOUNT EARNED LAST YEAR--JOB 1     
ER66241    BC46 PER FOR AMT EARNED LAST YR--JOB 1  
ER66242    BC51 WHY LAST JOB END (RP-U)            
ER66243    BC6 BEGINNING MONTH--JOB 2              
ER66244    BC6 BEGINNING YEAR--JOB 2               
ER66245    BC6 ENDING MONTH--JOB 2                 
ER66246    BC6 ENDING YEAR--JOB 2                  
ER66247    BC6 WTR EMPLOYED--JOB 2 JAN             
ER66248    BC6 WTR EMPLOYED--JOB 2 FEB             
ER66249    BC6 WTR EMPLOYED--JOB 2 MAR             
ER66250    BC6 WTR EMPLOYED--JOB 2 APR             
ER66251    BC6 WTR EMPLOYED--JOB 2 MAY             
ER66252    BC6 WTR EMPLOYED--JOB 2 JUN             
ER66253    BC6 WTR EMPLOYED--JOB 2 JUL             
ER66254    BC6 WTR EMPLOYED--JOB 2 AUG             
ER66255    BC6 WTR EMPLOYED--JOB 2 SEP             
ER66256    BC6 WTR EMPLOYED--JOB 2 OCT             
ER66257    BC6 WTR EMPLOYED--JOB 2 NOV             
ER66258    BC6 WTR EMPLOYED--JOB 2 DEC             
ER66259    BC20 MAIN OCC FOR JOB 2: 2010 CODE (RP) 
ER66260    BC21 MAIN IND FOR JOB 2: 2012 CODE (RP) 
ER66261    BC22 WORK SELF/OTR?--JOB 2              
ER66262    BC23 CORP/UNCORP BUS--JOB 2             
ER66263    BC24 WORK FOR GOVT?--JOB 2              
ER66264    BC43 HOURS/WEEK WORKED--JOB 2           
ER66265    ACCURACY OF HR/WK WORKED--RP JOB 2      
ER66266    BC44 WTR WORKED OT--JOB 2               
ER66267    BC45 AMT OF OT WORKED--JOB 2            
ER66268    BC45 OT TIME UNIT--JOB 2                
ER66269    ACCURACY OF OT--RP JOB 2                
ER66270    BC46 AMOUNT EARNED LAST YEAR--JOB 2     
ER66271    BC46 PER FOR AMT EARNED LAST YR--JOB 2  
ER66272    BC51 WHY JOB ENDED--JOB 2               
ER66273    BC6 BEGINNING MONTH--JOB 3              
ER66274    BC6 BEGINNING YEAR--JOB 3               
ER66275    BC6 ENDING MONTH--JOB 3                 
ER66276    BC6 ENDING YEAR--JOB 3                  
ER66277    BC6 WTR EMPLOYED--JOB 3 JAN             
ER66278    BC6 WTR EMPLOYED--JOB 3 FEB             
ER66279    BC6 WTR EMPLOYED--JOB 3 MAR             
ER66280    BC6 WTR EMPLOYED--JOB 3 APR             
ER66281    BC6 WTR EMPLOYED--JOB 3 MAY             
ER66282    BC6 WTR EMPLOYED--JOB 3 JUN             
ER66283    BC6 WTR EMPLOYED--JOB 3 JUL             
ER66284    BC6 WTR EMPLOYED--JOB 3 AUG             
ER66285    BC6 WTR EMPLOYED--JOB 3 SEP             
ER66286    BC6 WTR EMPLOYED--JOB 3 OCT             
ER66287    BC6 WTR EMPLOYED--JOB 3 NOV             
ER66288    BC6 WTR EMPLOYED--JOB 3 DEC             
ER66289    BC20 MAIN OCC FOR JOB 3: 2010 CODE (RP) 
ER66290    BC21 MAIN IND FOR JOB 3: 2012 CODE (RP) 
ER66291    BC22 WORK SELF/OTR?--JOB 3              
ER66292    BC23 CORP/UNCORP BUS--JOB 3             
ER66293    BC24 WORK FOR GOVT?--JOB 3              
ER66294    BC43 HOURS/WEEK WORKED--JOB 3           
ER66295    ACCURACY OF HR/WK WORKED--RP JOB 3      
ER66296    BC44 WTR WORKED OT--JOB 3               
ER66297    BC45 AMT OF OT WORKED--JOB 3            
ER66298    BC45 OT TIME UNIT--JOB 3                
ER66299    ACCURACY OF OT--RP JOB 3                
ER66300    BC46 AMOUNT EARNED LAST YEAR--JOB 3     
ER66301    BC46 PER FOR AMT EARNED LAST YR--JOB 3  
ER66302    BC51 WHY JOB ENDED--JOB 3               
ER66303    BC6 BEGINNING MONTH--JOB 4              
ER66304    BC6 BEGINNING YEAR--JOB 4               
ER66305    BC6 ENDING MONTH--JOB 4                 
ER66306    BC6 ENDING YEAR--JOB 4                  
ER66307    BC6 WTR EMPLOYED--JOB 4 JAN             
ER66308    BC6 WTR EMPLOYED--JOB 4 FEB             
ER66309    BC6 WTR EMPLOYED--JOB 4 MAR             
ER66310    BC6 WTR EMPLOYED--JOB 4 APR             
ER66311    BC6 WTR EMPLOYED--JOB 4 MAY             
ER66312    BC6 WTR EMPLOYED--JOB 4 JUN             
ER66313    BC6 WTR EMPLOYED--JOB 4 JUL             
ER66314    BC6 WTR EMPLOYED--JOB 4 AUG             
ER66315    BC6 WTR EMPLOYED--JOB 4 SEP             
ER66316    BC6 WTR EMPLOYED--JOB 4 OCT             
ER66317    BC6 WTR EMPLOYED--JOB 4 NOV             
ER66318    BC6 WTR EMPLOYED--JOB 4 DEC             
ER66319    BC20 MAIN OCC FOR JOB 4: 2010 CODE (RP) 
ER66320    BC21 MAIN IND FOR JOB 4: 2012 CODE (RP) 
ER66321    BC22 WORK SELF/OTR?--JOB 4              
ER66322    BC23 CORP/UNCORP BUS--JOB 4             
ER66323    BC24 WORK FOR GOVT?--JOB 4              
ER66324    BC43 HOURS/WEEK WORKED--JOB 4           
ER66325    ACCURACY OF HR/WK WORKED--RP JOB 4      
ER66326    BC44 WTR WORKED OT--JOB 4               
ER66327    BC45 AMT OF OT WORKED--JOB 4            
ER66328    BC45 OT TIME UNIT--JOB 4                
ER66329    ACCURACY OF OT--RP JOB 4                
ER66330    BC46 AMOUNT EARNED LAST YEAR--JOB 4     
ER66331    BC46 PER FOR AMT EARNED LAST YR--JOB 4  
ER66332    BC51 WHY JOB ENDED--JOB 4               
ER66333    NUMBER OF ADDITIONAL JOBS--RP           
ER66334    BC10 WTR OTRS ILL (RP)                  
ER66335    BC10 DAYS OTHERS SICK                   
