****** PSID DATA CENTER ************************* 
****** Variable labels for JobID = 350695 ******* 

Variable    Labels
ER68900    HEHC SLF RPT: OTR PSYCH PROB AGE 9--RP  
ER68901    HEHC SLF RPT: OTR PSYCH PROB AGE 10--RP 
ER68902    HEHC SLF RPT: OTR PSYCH PROB AGE 11--RP 
ER68903    HEHC SLF RPT: OTR PSYCH PROB AGE 12--RP 
ER68904    HEHC SLF RPT: OTR PSYCH PROB AGE 13--RP 
ER68905    HEHC SLF RPT: OTR PSYCH PROB AGE 14--RP 
ER68906    HEHC SLF RPT: OTR PSYCH PROB AGE 15--RP 
ER68907    HEHC SLF RPT: OTR PSYCH PROB AGE 16--RP 
ER68908    HEHC SLF RPT: OTR PSYCH PROB AGE 17+--RP
ER68909    HEHC SLF RPT: AGE END OTR PSYCH PROB--RP
ER68910    HEHC SP REPORT: YEAR 1ST REPORT--RP     
ER68911    HEHC SP RPT: PAR SEP B4 AGE 1--RP       
ER68912    HEHC SP RPT: PAR SEP AGE 1--RP          
ER68913    HEHC SP RPT: PAR SEP AGE 2--RP          
ER68914    HEHC SP RPT: PAR SEP AGE 3--RP          
ER68915    HEHC SP RPT: PAR SEP AGE 4--RP          
ER68916    HEHC SP RPT: PAR SEP AGE 5--RP          
ER68917    HEHC SP RPT: PAR SEP AGE 6--RP          
ER68918    HEHC SP RPT: PAR SEP AGE 7--RP          
ER68919    HEHC SP RPT: PAR SEP AGE 8--RP          
ER68920    HEHC SP RPT: PAR SEP AGE 9--RP          
ER68921    HEHC SP RPT: PAR SEP AGE 10--RP         
ER68922    HEHC SP RPT: PAR SEP AGE 11--RP         
ER68923    HEHC SP RPT: PAR SEP AGE 12--RP         
ER68924    HEHC SP RPT: PAR SEP AGE 13--RP         
ER68925    HEHC SP RPT: PAR SEP AGE 14--RP         
ER68926    HEHC SP RPT: PAR SEP AGE 15--RP         
ER68927    HEHC SP RPT: PAR SEP AGE 16--RP         
ER68928    HEHC SP RPT: MOVE B4 AGE 1--RP          
ER68929    HEHC SP RPT: MOVE AGE 1--RP             
ER68930    HEHC SP RPT: MOVE AGE 2--RP             
ER68931    HEHC SP RPT: MOVE AGE 3--RP             
ER68932    HEHC SP RPT: MOVE AGE 4--RP             
ER68933    HEHC SP RPT: MOVE AGE 5--RP             
ER68934    HEHC SP RPT: MOVE AGE 6--RP             
ER68935    HEHC SP RPT: MOVE AGE 7--RP             
ER68936    HEHC SP RPT: MOVE AGE 8--RP             
ER68937    HEHC SP RPT: MOVE AGE 9--RP             
ER68938    HEHC SP RPT: MOVE AGE 10--RP            
ER68939    HEHC SP RPT: MOVE AGE 11--RP            
ER68940    HEHC SP RPT: MOVE AGE 12--RP            
ER68941    HEHC SP RPT: MOVE AGE 13--RP            
ER68942    HEHC SP RPT: MOVE AGE 14--RP            
ER68943    HEHC SP RPT: MOVE AGE 15--RP            
ER68944    HEHC SP RPT: MOVE AGE 16--RP            
ER68945    HEHC SP RPT: SCHOOL B4 AGE 1--RP        
ER68946    HEHC SP RPT: SCHOOL AGE 1--RP           
ER68947    HEHC SP RPT: SCHOOL AGE 2--RP           
ER68948    HEHC SP RPT: SCHOOL AGE 3--RP           
ER68949    HEHC SP RPT: SCHOOL AGE 4--RP           
ER68950    HEHC SP RPT: SCHOOL AGE 5--RP           
ER68951    HEHC SP RPT: SCHOOL AGE 6--RP           
ER68952    HEHC SP RPT: SCHOOL AGE 7--RP           
ER68953    HEHC SP RPT: SCHOOL AGE 8--RP           
ER68954    HEHC SP RPT: SCHOOL AGE 9--RP           
ER68955    HEHC SP RPT: SCHOOL AGE 10--RP          
ER68956    HEHC SP RPT: SCHOOL AGE 11--RP          
ER68957    HEHC SP RPT: SCHOOL AGE 12--RP          
ER68958    HEHC SP RPT: SCHOOL AGE 13--RP          
ER68959    HEHC SP RPT: SCHOOL AGE 14--RP          
ER68960    HEHC SP RPT: SCHOOL AGE 15--RP          
ER68961    HEHC SP RPT: SCHOOL AGE 16--RP          
ER68962    HEHC SP RPT: ASTHMA B4 AGE 1--RP        
ER68963    HEHC SP RPT: ASTHMA AGE 1--RP           
ER68964    HEHC SP RPT: ASTHMA AGE 2--RP           
ER68965    HEHC SP RPT: ASTHMA AGE 3--RP           
ER68966    HEHC SP RPT: ASTHMA AGE 4--RP           
ER68967    HEHC SP RPT: ASTHMA AGE 5--RP           
ER68968    HEHC SP RPT: ASTHMA AGE 6--RP           
ER68969    HEHC SP RPT: ASTHMA AGE 7--RP           
ER68970    HEHC SP RPT: ASTHMA AGE 8--RP           
ER68971    HEHC SP RPT: ASTHMA AGE 9--RP           
ER68972    HEHC SP RPT: ASTHMA AGE 10--RP          
ER68973    HEHC SP RPT: ASTHMA AGE 11--RP          
ER68974    HEHC SP RPT: ASTHMA AGE 12--RP          
ER68975    HEHC SP RPT: ASTHMA AGE 13--RP          
ER68976    HEHC SP RPT: ASTHMA AGE 14--RP          
ER68977    HEHC SP RPT: ASTHMA AGE 15--RP          
ER68978    HEHC SP RPT: ASTHMA AGE 16--RP          
ER68979    HEHC SP RPT: ASTHMA AGE 17+--RP         
ER68980    HEHC SP RPT: AGE END ASTHMA--RP         
ER68981    HEHC SP RPT: DIABETES B4 AGE 1--RP      
ER68982    HEHC SP RPT: DIABETES AGE 1--RP         
ER68983    HEHC SP RPT: DIABETES AGE 2--RP         
ER68984    HEHC SP RPT: DIABETES AGE 3--RP         
ER68985    HEHC SP RPT: DIABETES AGE 4--RP         
ER68986    HEHC SP RPT: DIABETES AGE 5--RP         
ER68987    HEHC SP RPT: DIABETES AGE 6--RP         
ER68988    HEHC SP RPT: DIABETES AGE 7--RP         
ER68989    HEHC SP RPT: DIABETES AGE 8--RP         
ER68990    HEHC SP RPT: DIABETES AGE 9--RP         
ER68991    HEHC SP RPT: DIABETES AGE 10--RP        
ER68992    HEHC SP RPT: DIABETES AGE 11--RP        
ER68993    HEHC SP RPT: DIABETES AGE 12--RP        
ER68994    HEHC SP RPT: DIABETES AGE 13--RP        
ER68995    HEHC SP RPT: DIABETES AGE 14--RP        
ER68996    HEHC SP RPT: DIABETES AGE 15--RP        
ER68997    HEHC SP RPT: DIABETES AGE 16--RP        
ER68998    HEHC SP RPT: DIABETES AGE 17+--RP       
ER68999    HEHC SP RPT: AGE END DIABETES--RP       
ER69000    HEHC SP RPT: RESP DIS B4 AGE 1--RP      
ER69001    HEHC SP RPT: RESP DIS AGE 1--RP         
ER69002    HEHC SP RPT: RESP DIS AGE 2--RP         
ER69003    HEHC SP RPT: RESP DIS AGE 3--RP         
ER69004    HEHC SP RPT: RESP DIS AGE 4--RP         
ER69005    HEHC SP RPT: RESP DIS AGE 5--RP         
ER69006    HEHC SP RPT: RESP DIS AGE 6--RP         
ER69007    HEHC SP RPT: RESP DIS AGE 7--RP         
ER69008    HEHC SP RPT: RESP DIS AGE 8--RP         
ER69009    HEHC SP RPT: RESP DIS AGE 9--RP         
ER69010    HEHC SP RPT: RESP DIS AGE 10--RP        
ER69011    HEHC SP RPT: RESP DIS AGE 11--RP        
ER69012    HEHC SP RPT: RESP DIS AGE 12--RP        
ER69013    HEHC SP RPT: RESP DIS AGE 13--RP        
ER69014    HEHC SP RPT: RESP DIS AGE 14--RP        
ER69015    HEHC SP RPT: RESP DIS AGE 15--RP        
ER69016    HEHC SP RPT: RESP DIS AGE 16--RP        
ER69017    HEHC SP RPT: RESP DIS AGE 17+--RP       
ER69018    HEHC SP RPT: AGE END RESP DIS--RP       
ER69019    HEHC SP RPT: SPCH IMPAIR B4 AGE 1--RP   
ER69020    HEHC SP RPT: SPCH IMPAIR AGE 1--RP      
ER69021    HEHC SP RPT: SPCH IMPAIR AGE 2--RP      
ER69022    HEHC SP RPT: SPCH IMPAIR AGE 3--RP      
ER69023    HEHC SP RPT: SPCH IMPAIR AGE 4--RP      
ER69024    HEHC SP RPT: SPCH IMPAIR AGE 5--RP      
ER69025    HEHC SP RPT: SPCH IMPAIR AGE 6--RP      
ER69026    HEHC SP RPT: SPCH IMPAIR AGE 7--RP      
ER69027    HEHC SP RPT: SPCH IMPAIR AGE 8--RP      
ER69028    HEHC SP RPT: SPCH IMPAIR AGE 9--RP      
ER69029    HEHC SP RPT: SPCH IMPAIR AGE 10--RP     
ER69030    HEHC SP RPT: SPCH IMPAIR AGE 11--RP     
ER69031    HEHC SP RPT: SPCH IMPAIR AGE 12--RP     
ER69032    HEHC SP RPT: SPCH IMPAIR AGE 13--RP     
ER69033    HEHC SP RPT: SPCH IMPAIR AGE 14--RP     
ER69034    HEHC SP RPT: SPCH IMPAIR AGE 15--RP     
ER69035    HEHC SP RPT: SPCH IMPAIR AGE 16--RP     
ER69036    HEHC SP RPT: SPCH IMPAIR AGE 17+--RP    
ER69037    HEHC SP RPT: AGE END SPCH IMPAIR--RP    
ER69038    HEHC SP RPT: ALLERGY B4 AGE 1--RP       
ER69039    HEHC SP RPT: ALLERGY AGE 1--RP          
ER69040    HEHC SP RPT: ALLERGY AGE 2--RP          
ER69041    HEHC SP RPT: ALLERGY AGE 3--RP          
ER69042    HEHC SP RPT: ALLERGY AGE 4--RP          
ER69043    HEHC SP RPT: ALLERGY AGE 5--RP          
ER69044    HEHC SP RPT: ALLERGY AGE 6--RP          
ER69045    HEHC SP RPT: ALLERGY AGE 7--RP          
ER69046    HEHC SP RPT: ALLERGY AGE 8--RP          
ER69047    HEHC SP RPT: ALLERGY AGE 9--RP          
ER69048    HEHC SP RPT: ALLERGY AGE 10--RP         
ER69049    HEHC SP RPT: ALLERGY AGE 11--RP         
ER69050    HEHC SP RPT: ALLERGY AGE 12--RP         
ER69051    HEHC SP RPT: ALLERGY AGE 13--RP         
ER69052    HEHC SP RPT: ALLERGY AGE 14--RP         
ER69053    HEHC SP RPT: ALLERGY AGE 15--RP         
ER69054    HEHC SP RPT: ALLERGY AGE 16--RP         
ER69055    HEHC SP RPT: ALLERGY AGE 17+--RP        
ER69056    HEHC SP RPT: AGE END ALLERGY--RP        
ER69057    HEHC SP RPT: HEART TRBL B4 AGE 1--RP    
ER69058    HEHC SP RPT: HEART TRBL AGE 1--RP       
ER69059    HEHC SP RPT: HEART TRBL AGE 2--RP       
ER69060    HEHC SP RPT: HEART TRBL AGE 3--RP       
ER69061    HEHC SP RPT: HEART TRBL AGE 4--RP       
ER69062    HEHC SP RPT: HEART TRBL AGE 5--RP       
ER69063    HEHC SP RPT: HEART TRBL AGE 6--RP       
ER69064    HEHC SP RPT: HEART TRBL AGE 7--RP       
ER69065    HEHC SP RPT: HEART TRBL AGE 8--RP       
ER69066    HEHC SP RPT: HEART TRBL AGE 9--RP       
ER69067    HEHC SP RPT: HEART TRBL AGE 10--RP      
ER69068    HEHC SP RPT: HEART TRBL AGE 11--RP      
ER69069    HEHC SP RPT: HEART TRBL AGE 12--RP      
ER69070    HEHC SP RPT: HEART TRBL AGE 13--RP      
ER69071    HEHC SP RPT: HEART TRBL AGE 14--RP      
ER69072    HEHC SP RPT: HEART TRBL AGE 15--RP      
ER69073    HEHC SP RPT: HEART TRBL AGE 16--RP      
ER69074    HEHC SP RPT: HEART TRBL AGE 17+--RP     
ER69075    HEHC SP RPT: AGE END HEART TRBL--RP     
ER69076    HEHC SP RPT: EAR PROBS B4 AGE 1--RP     
ER69077    HEHC SP RPT: EAR PROBS AGE 1--RP        
ER69078    HEHC SP RPT: EAR PROBS AGE 2--RP        
ER69079    HEHC SP RPT: EAR PROBS AGE 3--RP        
ER69080    HEHC SP RPT: EAR PROBS AGE 4--RP        
ER69081    HEHC SP RPT: EAR PROBS AGE 5--RP        
ER69082    HEHC SP RPT: EAR PROBS AGE 6--RP        
ER69083    HEHC SP RPT: EAR PROBS AGE 7--RP        
ER69084    HEHC SP RPT: EAR PROBS AGE 8--RP        
ER69085    HEHC SP RPT: EAR PROBS AGE 9--RP        
ER69086    HEHC SP RPT: EAR PROBS AGE 10--RP       
ER69087    HEHC SP RPT: EAR PROBS AGE 11--RP       
ER69088    HEHC SP RPT: EAR PROBS AGE 12--RP       
ER69089    HEHC SP RPT: EAR PROBS AGE 13--RP       
ER69090    HEHC SP RPT: EAR PROBS AGE 14--RP       
ER69091    HEHC SP RPT: EAR PROBS AGE 15--RP       
ER69092    HEHC SP RPT: EAR PROBS AGE 16--RP       
ER69093    HEHC SP RPT: EAR PROBS AGE 17+--RP      
ER69094    HEHC SP RPT: AGE END EAR PROBS--RP      
ER69095    HEHC SP RPT: EPILEPSY B4 AGE 1--RP      
ER69096    HEHC SP RPT: EPILEPSY AGE 1--RP         
ER69097    HEHC SP RPT: EPILEPSY AGE 2--RP         
ER69098    HEHC SP RPT: EPILEPSY AGE 3--RP         
ER69099    HEHC SP RPT: EPILEPSY AGE 4--RP         
ER69100    HEHC SP RPT: EPILEPSY AGE 5--RP         
ER69101    HEHC SP RPT: EPILEPSY AGE 6--RP         
ER69102    HEHC SP RPT: EPILEPSY AGE 7--RP         
ER69103    HEHC SP RPT: EPILEPSY AGE 8--RP         
ER69104    HEHC SP RPT: EPILEPSY AGE 9--RP         
ER69105    HEHC SP RPT: EPILEPSY AGE 10--RP        
ER69106    HEHC SP RPT: EPILEPSY AGE 11--RP        
ER69107    HEHC SP RPT: EPILEPSY AGE 12--RP        
ER69108    HEHC SP RPT: EPILEPSY AGE 13--RP        
ER69109    HEHC SP RPT: EPILEPSY AGE 14--RP        
ER69110    HEHC SP RPT: EPILEPSY AGE 15--RP        
ER69111    HEHC SP RPT: EPILEPSY AGE 16--RP        
ER69112    HEHC SP RPT: EPILEPSY AGE 17+--RP       
ER69113    HEHC SP RPT: AGE END EPILEPSY--RP       
ER69114    HEHC SP RPT: HEADACHE B4 AGE 1--RP      
ER69115    HEHC SP RPT: HEADACHE AGE 1--RP         
ER69116    HEHC SP RPT: HEADACHE AGE 2--RP         
ER69117    HEHC SP RPT: HEADACHE AGE 3--RP         
ER69118    HEHC SP RPT: HEADACHE AGE 4--RP         
ER69119    HEHC SP RPT: HEADACHE AGE 5--RP         
ER69120    HEHC SP RPT: HEADACHE AGE 6--RP         
ER69121    HEHC SP RPT: HEADACHE AGE 7--RP         
ER69122    HEHC SP RPT: HEADACHE AGE 8--RP         
ER69123    HEHC SP RPT: HEADACHE AGE 9--RP         
ER69124    HEHC SP RPT: HEADACHE AGE 10--RP        
ER69125    HEHC SP RPT: HEADACHE AGE 11--RP        
ER69126    HEHC SP RPT: HEADACHE AGE 12--RP        
ER69127    HEHC SP RPT: HEADACHE AGE 13--RP        
ER69128    HEHC SP RPT: HEADACHE AGE 14--RP        
ER69129    HEHC SP RPT: HEADACHE AGE 15--RP        
ER69130    HEHC SP RPT: HEADACHE AGE 16--RP        
ER69131    HEHC SP RPT: HEADACHE AGE 17+--RP       
ER69132    HEHC SP RPT: AGE END HEADACHE--RP       
ER69133    HEHC SP RPT: STOM PROB B4 AGE 1--RP     
ER69134    HEHC SP RPT: STOM PROB AGE 1--RP        
ER69135    HEHC SP RPT: STOM PROB AGE 2--RP        
ER69136    HEHC SP RPT: STOM PROB AGE 3--RP        
ER69137    HEHC SP RPT: STOM PROB AGE 4--RP        
ER69138    HEHC SP RPT: STOM PROB AGE 5--RP        
ER69139    HEHC SP RPT: STOM PROB AGE 6--RP        
ER69140    HEHC SP RPT: STOM PROB AGE 7--RP        
ER69141    HEHC SP RPT: STOM PROB AGE 8--RP        
ER69142    HEHC SP RPT: STOM PROB AGE 9--RP        
ER69143    HEHC SP RPT: STOM PROB AGE 10--RP       
ER69144    HEHC SP RPT: STOM PROB AGE 11--RP       
ER69145    HEHC SP RPT: STOM PROB AGE 12--RP       
ER69146    HEHC SP RPT: STOM PROB AGE 13--RP       
ER69147    HEHC SP RPT: STOM PROB AGE 14--RP       
ER69148    HEHC SP RPT: STOM PROB AGE 15--RP       
ER69149    HEHC SP RPT: STOM PROB AGE 16--RP       
ER69150    HEHC SP RPT: STOM PROB AGE 17+--RP      
ER69151    HEHC SP RPT: AGE END STOM PROB--RP      
ER69152    HEHC SP RPT: HGH BLOOD PR B4 AGE 1--RP  
ER69153    HEHC SP RPT: HGH BLOOD PR AGE 1--RP     
ER69154    HEHC SP RPT: HGH BLOOD PR AGE 2--RP     
ER69155    HEHC SP RPT: HGH BLOOD PR AGE 3--RP     
ER69156    HEHC SP RPT: HGH BLOOD PR AGE 4--RP     
ER69157    HEHC SP RPT: HGH BLOOD PR AGE 5--RP     
ER69158    HEHC SP RPT: HGH BLOOD PR AGE 6--RP     
ER69159    HEHC SP RPT: HGH BLOOD PR AGE 7--RP     
ER69160    HEHC SP RPT: HGH BLOOD PR AGE 8--RP     
ER69161    HEHC SP RPT: HGH BLOOD PR AGE 9--RP     
ER69162    HEHC SP RPT: HGH BLOOD PR AGE 10--RP    
ER69163    HEHC SP RPT: HGH BLOOD PR AGE 11--RP    
ER69164    HEHC SP RPT: HGH BLOOD PR AGE 12--RP    
ER69165    HEHC SP RPT: HGH BLOOD PR AGE 13--RP    
ER69166    HEHC SP RPT: HGH BLOOD PR AGE 14--RP    
ER69167    HEHC SP RPT: HGH BLOOD PR AGE 15--RP    
ER69168    HEHC SP RPT: HGH BLOOD PR AGE 16--RP    
ER69169    HEHC SP RPT: HGH BLOOD PR AGE 17+--RP   
ER69170    HEHC SP RPT: AGE END HGH BLD PR--RP     
ER69171    HEHC SP RPT: DEPRESSION B4 AGE 1--RP    
ER69172    HEHC SP RPT: DEPRESSION AGE 1--RP       
ER69173    HEHC SP RPT: DEPRESSION AGE 2--RP       
ER69174    HEHC SP RPT: DEPRESSION AGE 3--RP       
ER69175    HEHC SP RPT: DEPRESSION AGE 4--RP       
ER69176    HEHC SP RPT: DEPRESSION AGE 5--RP       
ER69177    HEHC SP RPT: DEPRESSION AGE 6--RP       
ER69178    HEHC SP RPT: DEPRESSION AGE 7--RP       
ER69179    HEHC SP RPT: DEPRESSION AGE 8--RP       
ER69180    HEHC SP RPT: DEPRESSION AGE 9--RP       
ER69181    HEHC SP RPT: DEPRESSION AGE 10--RP      
ER69182    HEHC SP RPT: DEPRESSION AGE 11--RP      
ER69183    HEHC SP RPT: DEPRESSION AGE 12--RP      
ER69184    HEHC SP RPT: DEPRESSION AGE 13--RP      
ER69185    HEHC SP RPT: DEPRESSION AGE 14--RP      
ER69186    HEHC SP RPT: DEPRESSION AGE 15--RP      
ER69187    HEHC SP RPT: DEPRESSION AGE 16--RP      
ER69188    HEHC SP RPT: DEPRESSION AGE 17+--RP     
ER69189    HEHC SP RPT: AGE END DEPRESSION--RP     
ER69190    HEHC SP RPT: DRUG/AL PROB B4 AGE 1--RP  
ER69191    HEHC SP RPT: DRUG/AL PROB AGE 1--RP     
ER69192    HEHC SP RPT: DRUG/AL PROB AGE 2--RP     
ER69193    HEHC SP RPT: DRUG/AL PROB AGE 3--RP     
ER69194    HEHC SP RPT: DRUG/AL PROB AGE 4--RP     
ER69195    HEHC SP RPT: DRUG/AL PROB AGE 5--RP     
ER69196    HEHC SP RPT: DRUG/AL PROB AGE 6--RP     
ER69197    HEHC SP RPT: DRUG/AL PROB AGE 7--RP     
ER69198    HEHC SP RPT: DRUG/AL PROB AGE 8--RP     
ER69199    HEHC SP RPT: DRUG/AL PROB AGE 9--RP     
ER69200    HEHC SP RPT: DRUG/AL PROB AGE 10--RP    
ER69201    HEHC SP RPT: DRUG/AL PROB AGE 11--RP    
ER69202    HEHC SP RPT: DRUG/AL PROB AGE 12--RP    
ER69203    HEHC SP RPT: DRUG/AL PROB AGE 13--RP    
ER69204    HEHC SP RPT: DRUG/AL PROB AGE 14--RP    
ER69205    HEHC SP RPT: DRUG/AL PROB AGE 15--RP    
ER69206    HEHC SP RPT: DRUG/AL PROB AGE 16--RP    
ER69207    HEHC SP RPT: DRUG/AL PROB AGE 17+--RP   
ER69208    HEHC SP RPT: AGE END DRUG/AL PROB--RP   
ER69209    HEHC SP RPT: OTR PSYCH PROB B4 AGE 1--RP
ER69210    HEHC SP RPT: OTR PSYCH PROB AGE 1--RP   
ER69211    HEHC SP RPT: OTR PSYCH PROB AGE 2--RP   
ER69212    HEHC SP RPT: OTR PSYCH PROB AGE 3--RP   
ER69213    HEHC SP RPT: OTR PSYCH PROB AGE 4--RP   
ER69214    HEHC SP RPT: OTR PSYCH PROB AGE 5--RP   
ER69215    HEHC SP RPT: OTR PSYCH PROB AGE 6--RP   
ER69216    HEHC SP RPT: OTR PSYCH PROB AGE 7--RP   
ER69217    HEHC SP RPT: OTR PSYCH PROB AGE 8--RP   
ER69218    HEHC SP RPT: OTR PSYCH PROB AGE 9--RP   
ER69219    HEHC SP RPT: OTR PSYCH PROB AGE 10--RP  
ER69220    HEHC SP RPT: OTR PSYCH PROB AGE 11--RP  
ER69221    HEHC SP RPT: OTR PSYCH PROB AGE 12--RP  
ER69222    HEHC SP RPT: OTR PSYCH PROB AGE 13--RP  
ER69223    HEHC SP RPT: OTR PSYCH PROB AGE 14--RP  
ER69224    HEHC SP RPT: OTR PSYCH PROB AGE 15--RP  
ER69225    HEHC SP RPT: OTR PSYCH PROB AGE 16--RP  
ER69226    HEHC SP RPT: OTR PSYCH PROB AGE 17+--RP 
ER69227    HEHC SP RPT: AGE END OTR PSYCH PROB--RP 
ER69228    HEHC OTR RPT: YEAR 1ST REPORT--RP       
ER69229    HEHC OTR RPT: PAR SEP B4 AGE 1--RP      
ER69230    HEHC OTR RPT: PAR SEP AGE 1--RP         
ER69231    HEHC OTR RPT: PAR SEP AGE 2--RP         
ER69232    HEHC OTR RPT: PAR SEP AGE 3--RP         
ER69233    HEHC OTR RPT: PAR SEP AGE 4--RP         
ER69234    HEHC OTR RPT: PAR SEP AGE 5--RP         
ER69235    HEHC OTR RPT: PAR SEP AGE 6--RP         
ER69236    HEHC OTR RPT: PAR SEP AGE 7--RP         
ER69237    HEHC OTR RPT: PAR SEP AGE 8--RP         
ER69238    HEHC OTR RPT: PAR SEP AGE 9--RP         
ER69239    HEHC OTR RPT: PAR SEP AGE 10--RP        
ER69240    HEHC OTR RPT: PAR SEP AGE 11--RP        
ER69241    HEHC OTR RPT: PAR SEP AGE 12--RP        
ER69242    HEHC OTR RPT: PAR SEP AGE 13--RP        
ER69243    HEHC OTR RPT: PAR SEP AGE 14--RP        
ER69244    HEHC OTR RPT: PAR SEP AGE 15--RP        
ER69245    HEHC OTR RPT: PAR SEP AGE 16--RP        
ER69246    HEHC OTR RPT: MOVE B4 AGE 1--RP         
ER69247    HEHC OTR RPT: MOVE AGE 1--RP            
ER69248    HEHC OTR RPT: MOVE AGE 2--RP            
ER69249    HEHC OTR RPT: MOVE AGE 3--RP            
ER69250    HEHC OTR RPT: MOVE AGE 4--RP            
ER69251    HEHC OTR RPT: MOVE AGE 5--RP            
ER69252    HEHC OTR RPT: MOVE AGE 6--RP            
ER69253    HEHC OTR RPT: MOVE AGE 7--RP            
ER69254    HEHC OTR RPT: MOVE AGE 8--RP            
ER69255    HEHC OTR RPT: MOVE AGE 9--RP            
ER69256    HEHC OTR RPT: MOVE AGE 10--RP           
ER69257    HEHC OTR RPT: MOVE AGE 11--RP           
ER69258    HEHC OTR RPT: MOVE AGE 12--RP           
ER69259    HEHC OTR RPT: MOVE AGE 13--RP           
ER69260    HEHC OTR RPT: MOVE AGE 14--RP           
ER69261    HEHC OTR RPT: MOVE AGE 15--RP           
ER69262    HEHC OTR RPT: MOVE AGE 16--RP           
ER69263    HEHC OTR RPT: SCHOOL B4 AGE 1--RP       
ER69264    HEHC OTR RPT: SCHOOL AGE 1--RP          
ER69265    HEHC OTR RPT: SCHOOL AGE 2--RP          
ER69266    HEHC OTR RPT: SCHOOL AGE 3--RP          
ER69267    HEHC OTR RPT: SCHOOL AGE 4--RP          
ER69268    HEHC OTR RPT: SCHOOL AGE 5--RP          
ER69269    HEHC OTR RPT: SCHOOL AGE 6--RP          
ER69270    HEHC OTR RPT: SCHOOL AGE 7--RP          
ER69271    HEHC OTR RPT: SCHOOL AGE 8--RP          
ER69272    HEHC OTR RPT: SCHOOL AGE 9--RP          
ER69273    HEHC OTR RPT: SCHOOL AGE 10--RP         
ER69274    HEHC OTR RPT: SCHOOL AGE 11--RP         
ER69275    HEHC OTR RPT: SCHOOL AGE 12--RP         
ER69276    HEHC OTR RPT: SCHOOL AGE 13--RP         
ER69277    HEHC OTR RPT: SCHOOL AGE 14--RP         
ER69278    HEHC OTR RPT: SCHOOL AGE 15--RP         
ER69279    HEHC OTR RPT: SCHOOL AGE 16--RP         
ER69280    HEHC OTR RPT: ASTHMA B4 AGE 1--RP       
ER69281    HEHC OTR RPT: ASTHMA AGE 1--RP          
ER69282    HEHC OTR RPT: ASTHMA AGE 2--RP          
ER69283    HEHC OTR RPT: ASTHMA AGE 3--RP          
ER69284    HEHC OTR RPT: ASTHMA AGE 4--RP          
ER69285    HEHC OTR RPT: ASTHMA AGE 5--RP          
ER69286    HEHC OTR RPT: ASTHMA AGE 6--RP          
ER69287    HEHC OTR RPT: ASTHMA AGE 7--RP          
ER69288    HEHC OTR RPT: ASTHMA AGE 8--RP          
ER69289    HEHC OTR RPT: ASTHMA AGE 9--RP          
ER69290    HEHC OTR RPT: ASTHMA AGE 10--RP         
ER69291    HEHC OTR RPT: ASTHMA AGE 11--RP         
ER69292    HEHC OTR RPT: ASTHMA AGE 12--RP         
ER69293    HEHC OTR RPT: ASTHMA AGE 13--RP         
ER69294    HEHC OTR RPT: ASTHMA AGE 14--RP         
ER69295    HEHC OTR RPT: ASTHMA AGE 15--RP         
ER69296    HEHC OTR RPT: ASTHMA AGE 16--RP         
ER69297    HEHC OTR RPT: ASTHMA AGE 17+--RP        
ER69298    HEHC OTR RPT: AGE END ASTHMA--RP        
ER69299    HEHC OTR RPT: DIABETES B4 AGE 1--RP     
ER69300    HEHC OTR RPT: DIABETES AGE 1--RP        
ER69301    HEHC OTR RPT: DIABETES AGE 2--RP        
ER69302    HEHC OTR RPT: DIABETES AGE 3--RP        
ER69303    HEHC OTR RPT: DIABETES AGE 4--RP        
ER69304    HEHC OTR RPT: DIABETES AGE 5--RP        
ER69305    HEHC OTR RPT: DIABETES AGE 6--RP        
ER69306    HEHC OTR RPT: DIABETES AGE 7--RP        
ER69307    HEHC OTR RPT: DIABETES AGE 8--RP        
ER69308    HEHC OTR RPT: DIABETES AGE 9--RP        
ER69309    HEHC OTR RPT: DIABETES AGE 10--RP       
ER69310    HEHC OTR RPT: DIABETES AGE 11--RP       
ER69311    HEHC OTR RPT: DIABETES AGE 12--RP       
ER69312    HEHC OTR RPT: DIABETES AGE 13--RP       
ER69313    HEHC OTR RPT: DIABETES AGE 14--RP       
ER69314    HEHC OTR RPT: DIABETES AGE 15--RP       
ER69315    HEHC OTR RPT: DIABETES AGE 16--RP       
ER69316    HEHC OTR RPT: DIABETES AGE 17+--RP      
ER69317    HEHC OTR RPT: AGE END DIABETES--RP      
ER69318    HEHC OTR RPT: RESP DIS B4 AGE 1--RP     
ER69319    HEHC OTR RPT: RESP DIS AGE 1--RP        
ER69320    HEHC OTR RPT: RESP DIS AGE 2--RP        
ER69321    HEHC OTR RPT: RESP DIS AGE 3--RP        
ER69322    HEHC OTR RPT: RESP DIS AGE 4--RP        
ER69323    HEHC OTR RPT: RESP DIS AGE 5--RP        
ER69324    HEHC OTR RPT: RESP DIS AGE 6--RP        
ER69325    HEHC OTR RPT: RESP DIS AGE 7--RP        
ER69326    HEHC OTR RPT: RESP DIS AGE 8--RP        
ER69327    HEHC OTR RPT: RESP DIS AGE 9--RP        
ER69328    HEHC OTR RPT: RESP DIS AGE 10--RP       
ER69329    HEHC OTR RPT: RESP DIS AGE 11--RP       
ER69330    HEHC OTR RPT: RESP DIS AGE 12--RP       
ER69331    HEHC OTR RPT: RESP DIS AGE 13--RP       
ER69332    HEHC OTR RPT: RESP DIS AGE 14--RP       
