****** PSID DATA CENTER ************************* 
****** Variable labels for JobID = 350694 ******* 

Variable    Labels
ER73268    ANNUITIES INCOME APR-RP                 
ER73269    ANNUITIES INCOME MAY-RP                 
ER73270    ANNUITIES INCOME JUN-RP                 
ER73271    ANNUITIES INCOME JUL-RP                 
ER73272    ANNUITIES INCOME AUG-RP                 
ER73273    ANNUITIES INCOME SEP-RP                 
ER73274    ANNUITIES INCOME OCT-RP                 
ER73275    ANNUITIES INCOME NOV-RP                 
ER73276    ANNUITIES INCOME DEC-RP                 
ER73277    G40C WTR OTR PENSION INCOME-RP          
ER73278    AMOUNT OTR PENSION INCOME-RP            
ER73279    AMOUNT OTR PENSION INCOME PER-RP        
ER73280    ACCURACY OF OTR PENSION INCOME-RP       
ER73281    OTHER PENSION INCOME JAN-RP             
ER73282    OTHER PENSION INCOME FEB-RP             
ER73283    OTHER PENSION INCOME MAR-RP             
ER73284    OTHER PENSION INCOME APR-RP             
ER73285    OTHER PENSION INCOME MAY-RP             
ER73286    OTHER PENSION INCOME JUN-RP             
ER73287    OTHER PENSION INCOME JUL-RP             
ER73288    OTHER PENSION INCOME AUG-RP             
ER73289    OTHER PENSION INCOME SEP-RP             
ER73290    OTHER PENSION INCOME OCT-RP             
ER73291    OTHER PENSION INCOME NOV-RP             
ER73292    OTHER PENSION INCOME DEC-RP             
ER73293    G40D WHETHER IRA INCOME-RP              
ER73294    AMOUNT IRA INCOME-RP                    
ER73295    AMOUNT IRA INCOME PER-RP                
ER73296    ACCURACY OF IRA INCOME-RP               
ER73297    IRA INCOME JAN-RP                       
ER73298    IRA INCOME FEB-RP                       
ER73299    IRA INCOME MAR-RP                       
ER73300    IRA INCOME APR-RP                       
ER73301    IRA INCOME MAY-RP                       
ER73302    IRA INCOME JUN-RP                       
ER73303    IRA INCOME JUL-RP                       
ER73304    IRA INCOME AUG-RP                       
ER73305    IRA INCOME SEP-RP                       
ER73306    IRA INCOME OCT-RP                       
ER73307    IRA INCOME NOV-RP                       
ER73308    IRA INCOME DEC-RP                       
ER73309    G43 NUM OF NON VA PENSN-RP              
ER73310    G44A WTR UNEMPLOY COMP-RP               
ER73311    AMOUNT UNEMPLOY COMP-RP                 
ER73312    AMOUNT UNEMPLOY COMP PER-RP             
ER73313    ACCURACY OF UNEMPL COMP-RP              
ER73314    UNEMPLOYMENT INCOME JAN-RP              
ER73315    UNEMPLOYMENT INCOME FEB-RP              
ER73316    UNEMPLOYMENT INCOME MAR-RP              
ER73317    UNEMPLOYMENT INCOME APR-RP              
ER73318    UNEMPLOYMENT INCOME MAY-RP              
ER73319    UNEMPLOYMENT INCOME JUN-RP              
ER73320    UNEMPLOYMENT INCOME JUL-RP              
ER73321    UNEMPLOYMENT INCOME AUG-RP              
ER73322    UNEMPLOYMENT INCOME SEP-RP              
ER73323    UNEMPLOYMENT INCOME OCT-RP              
ER73324    UNEMPLOYMENT INCOME NOV-RP              
ER73325    UNEMPLOYMENT INCOME DEC-RP              
ER73326    G44B WTR WORKERS COMP-RP                
ER73327    AMOUNT WORKERS COMP-RP                  
ER73328    AMOUNT WORKERS COMP PER-RP              
ER73329    ACCURACY OF WORKERS COMP-RP             
ER73330    WORKERS COMP INCOME JAN-RP              
ER73331    WORKERS COMP INCOME FEB-RP              
ER73332    WORKERS COMP INCOME MAR-RP              
ER73333    WORKERS COMP INCOME APR-RP              
ER73334    WORKERS COMP INCOME MAY-RP              
ER73335    WORKERS COMP INCOME JUN-RP              
ER73336    WORKERS COMP INCOME JUL-RP              
ER73337    WORKERS COMP INCOME AUG-RP              
ER73338    WORKERS COMP INCOME SEP-RP              
ER73339    WORKERS COMP INCOME OCT-RP              
ER73340    WORKERS COMP INCOME NOV-RP              
ER73341    WORKERS COMP INCOME DEC-RP              
ER73342    G44C WTR CHILD SUPPORT INCOME-RP        
ER73343    AMOUNT CHILD SUPPORT INCOME-RP          
ER73344    AMOUNT CHILD SUPPORT INCOME PER-RP      
ER73345    ACCURACY OF CHILD SUPPORT INCOME-RP     
ER73346    CHILD SUPPORT INCOME JAN-RP             
ER73347    CHILD SUPPORT INCOME FEB-RP             
ER73348    CHILD SUPPORT INCOME MAR-RP             
ER73349    CHILD SUPPORT INCOME APR-RP             
ER73350    CHILD SUPPORT INCOME MAY-RP             
ER73351    CHILD SUPPORT INCOME JUN-RP             
ER73352    CHILD SUPPORT INCOME JUL-RP             
ER73353    CHILD SUPPORT INCOME AUG-RP             
ER73354    CHILD SUPPORT INCOME SEP-RP             
ER73355    CHILD SUPPORT INCOME OCT-RP             
ER73356    CHILD SUPPORT INCOME NOV-RP             
ER73357    CHILD SUPPORT INCOME DEC-RP             
ER73358    G44D WTR ALIMONY INCOME-RP              
ER73359    AMOUNT ALIMONY INCOME-RP                
ER73360    AMOUNT ALIMONY INCOME PER-RP            
ER73361    ACCURACY OF ALIMONY INCOME-RP           
ER73362    ALIMONY INCOME JAN-RP                   
ER73363    ALIMONY INCOME FEB-RP                   
ER73364    ALIMONY INCOME MAR-RP                   
ER73365    ALIMONY INCOME APR-RP                   
ER73366    ALIMONY INCOME MAY-RP                   
ER73367    ALIMONY INCOME JUN-RP                   
ER73368    ALIMONY INCOME JUL-RP                   
ER73369    ALIMONY INCOME AUG-RP                   
ER73370    ALIMONY INCOME SEP-RP                   
ER73371    ALIMONY INCOME OCT-RP                   
ER73372    ALIMONY INCOME NOV-RP                   
ER73373    ALIMONY INCOME DEC-RP                   
ER73374    G44E WTR HELP FROM RELATIVES-RP         
ER73375    AMOUNT HELP FROM RELATIVES-RP           
ER73376    AMOUNT HELP FROM RELATIVES PER-RP       
ER73377    ACCURACY OF HELP FROM RELATIVES-RP      
ER73378    HELP FROM RELATIVE JAN-RP               
ER73379    HELP FROM RELATIVE FEB-RP               
ER73380    HELP FROM RELATIVE MAR-RP               
ER73381    HELP FROM RELATIVE APR-RP               
ER73382    HELP FROM RELATIVE MAY-RP               
ER73383    HELP FROM RELATIVE JUN-RP               
ER73384    HELP FROM RELATIVE JUL-RP               
ER73385    HELP FROM RELATIVE AUG-RP               
ER73386    HELP FROM RELATIVE SEP-RP               
ER73387    HELP FROM RELATIVE OCT-RP               
ER73388    HELP FROM RELATIVE NOV-RP               
ER73389    HELP FROM RELATIVE DEC-RP               
ER73390    G44F WTR HELP FROM OTHERS-RP            
ER73391    AMOUNT HELP FROM OTHERS-RP              
ER73392    AMOUNT HELP FROM OTHERS PER-RP          
ER73393    ACCURACY OF HELP FROM OTHERS-RP         
ER73394    HELP FROM OTHERS JAN-RP                 
ER73395    HELP FROM OTHERS FEB-RP                 
ER73396    HELP FROM OTHERS MAR-RP                 
ER73397    HELP FROM OTHERS APR-RP                 
ER73398    HELP FROM OTHERS MAY-RP                 
ER73399    HELP FROM OTHERS JUN-RP                 
ER73400    HELP FROM OTHERS JUL-RP                 
ER73401    HELP FROM OTHERS AUG-RP                 
ER73402    HELP FROM OTHERS SEP-RP                 
ER73403    HELP FROM OTHERS OCT-RP                 
ER73404    HELP FROM OTHERS NOV-RP                 
ER73405    HELP FROM OTHERS DEC-RP                 
ER73406    G44G WTR ANY OTHER INCOME-RP            
ER73407    AMOUNT ANY OTHER INCOME-RP              
ER73408    AMOUNT ANY OTHER INCOME PER-RP          
ER73409    ACCURACY OF ANY OTHER INCOME-RP         
ER73410    ANY OTHER INCOME JAN-RP                 
ER73411    ANY OTHER INCOME FEB-RP                 
ER73412    ANY OTHER INCOME MAR-RP                 
ER73413    ANY OTHER INCOME APR-RP                 
ER73414    ANY OTHER INCOME MAY-RP                 
ER73415    ANY OTHER INCOME JUN-RP                 
ER73416    ANY OTHER INCOME JUL-RP                 
ER73417    ANY OTHER INCOME AUG-RP                 
ER73418    ANY OTHER INCOME SEP-RP                 
ER73419    ANY OTHER INCOME OCT-RP                 
ER73420    ANY OTHER INCOME NOV-RP                 
ER73421    ANY OTHER INCOME DEC-RP                 
ER73422    G49 WTR SPOUSE IN FU NOW                
ER73423    G12 WHETHER WAGES/SALARY-SPOUSE         
ER73424    G13 WAGES/SALARY OF SPOUSE              
ER73425    ACCURACY OF WAGES/SALARY-SPOUSE         
ER73426    G14/16 BONUS/OT/TIPS/COMMISSION - SPOUSE
ER73427    BONUS INCOME-SPOUSE                     
ER73428    AMOUNT BONUS INCOME-SPOUSE              
ER73429    ACCURACY OF BONUS INCOME-SPOUSE         
ER73430    OVERTIME INCOME-SPOUSE                  
ER73431    AMOUNT OVERTIME INCOME-SPOUSE           
ER73432    ACCURACY OF OVERTIME INCOME-SPOUSE      
ER73433    TIPS INCOME-SPOUSE                      
ER73434    AMOUNT TIPS INCOME-SPOUSE               
ER73435    ACCURACY OF TIPS INCOME-SPOUSE          
ER73436    COMMISSION INCOME-SPOUSE                
ER73437    AMOUNT COMMISSION INCOME-SPOUSE         
ER73438    ACCURACY OF COMMISSION INCOME-SPOUSE    
ER73439    WHETHER OTHER LABOR INCOME-SPOUSE       
ER73440    AMOUNT OTHER LABOR INCOME-SPOUSE        
ER73441    ACCURACY OF OTHER LABOR INCOME-SPOUSE   
ER73442    WHETHER WORK HRS FOR WAGES ETC-SPOUSE   
ER73443    G18A WTR PROFESS/TRADE INCOME-SPOUSE    
ER73444    AMOUNT PROFESS/TRADE INCOME-SPOUSE      
ER73445    AMOUNT PROFESS/TRADE INCOME PER-SPOUSE  
ER73446    ACCURACY OF PROFESS/TRADE INCOME-SPOUSE 
ER73447    PROFESS/TRADE INCOME JAN-SPOUSE         
ER73448    PROFESS/TRADE INCOME FEB-SPOUSE         
ER73449    PROFESS/TRADE INCOME MAR-SPOUSE         
ER73450    PROFESS/TRADE INCOME APR-SPOUSE         
ER73451    PROFESS/TRADE INCOME MAY-SPOUSE         
ER73452    PROFESS/TRADE INCOME JUN-SPOUSE         
ER73453    PROFESS/TRADE INCOME JUL-SPOUSE         
ER73454    PROFESS/TRADE INCOME AUG-SPOUSE         
ER73455    PROFESS/TRADE INCOME SEP-SPOUSE         
ER73456    PROFESS/TRADE INCOME OCT-SPOUSE         
ER73457    PROFESS/TRADE INCOME NOV-SPOUSE         
ER73458    PROFESS/TRADE INCOME DEC-SPOUSE         
ER73459    WTR WORK HRS PRO PRACTICE/TRADE-SPOUSE  
ER73460    G26 WTR INCLUDED INCOME XTRA JOB-SPOUSE 
ER73461    AMOUNT XTRA JOB INCOME-SPOUSE           
ER73462    ACCURACY XTRA JOB INCOME-SPOUSE         
ER73463    G25A WHETHER RENT INCOME-SPOUSE         
ER73464    AMOUNT RENT INCOME-SPOUSE               
ER73465    AMOUNT RENT INCOME PER-SPOUSE           
ER73466    ACCURACY OF RENT INCOME-SPOUSE          
ER73467    G26A3 WTR RENT ADDITIONAL TO RP AMT     
ER73468    RENT INCOME JAN-SPOUSE                  
ER73469    RENT INCOME FEB-SPOUSE                  
ER73470    RENT INCOME MAR-SPOUSE                  
ER73471    RENT INCOME APR-SPOUSE                  
ER73472    RENT INCOME MAY-SPOUSE                  
ER73473    RENT INCOME JUN-SPOUSE                  
ER73474    RENT INCOME JUL-SPOUSE                  
ER73475    RENT INCOME AUG-SPOUSE                  
ER73476    RENT INCOME SEP-SPOUSE                  
ER73477    RENT INCOME OCT-SPOUSE                  
ER73478    RENT INCOME NOV-SPOUSE                  
ER73479    RENT INCOME DEC-SPOUSE                  
ER73480    G25B WHETHER DIVIDEND INCOME-SPOUSE     
ER73481    AMOUNT DIVIDEND INCOME-SPOUSE           
ER73482    AMOUNT DIVIDEND INCOME PER-SPOUSE       
ER73483    ACCURACY OF DIVIDEND INCOME-SPOUSE      
ER73484    G26B3 WTR DIVS ADDITIONAL TO RP AMT     
ER73485    DIVIDEND INCOME JAN-SPOUSE              
ER73486    DIVIDEND INCOME FEB-SPOUSE              
ER73487    DIVIDEND INCOME MAR-SPOUSE              
ER73488    DIVIDEND INCOME APR-SPOUSE              
ER73489    DIVIDEND INCOME MAY-SPOUSE              
ER73490    DIVIDEND INCOME JUN-SPOUSE              
ER73491    DIVIDEND INCOME JUL-SPOUSE              
ER73492    DIVIDEND INCOME AUG-SPOUSE              
ER73493    DIVIDEND INCOME SEP-SPOUSE              
ER73494    DIVIDEND INCOME OCT-SPOUSE              
ER73495    DIVIDEND INCOME NOV-SPOUSE              
ER73496    DIVIDEND INCOME DEC-SPOUSE              
ER73497    G26C WHETHER INTEREST INCOME-SPOUSE     
ER73498    AMOUNT INTEREST INCOME-SPOUSE           
ER73499    AMOUNT INTEREST INCOME PER-SPOUSE       
ER73500    ACCURACY OF INTEREST INCOME-SPOUSE      
ER73501    G26C3 WTR INTEREST ADDITNL TO RP AMT    
ER73502    INTEREST INCOME JAN-SPOUSE              
ER73503    INTEREST INCOME FEB-SPOUSE              
ER73504    INTEREST INCOME MAR-SPOUSE              
ER73505    INTEREST INCOME APR-SPOUSE              
ER73506    INTEREST INCOME MAY-SPOUSE              
ER73507    INTEREST INCOME JUN-SPOUSE              
ER73508    INTEREST INCOME JUL-SPOUSE              
ER73509    INTEREST INCOME AUG-SPOUSE              
ER73510    INTEREST INCOME SEP-SPOUSE              
ER73511    INTEREST INCOME OCT-SPOUSE              
ER73512    INTEREST INCOME NOV-SPOUSE              
ER73513    INTEREST INCOME DEC-SPOUSE              
ER73514    G25D WTR TRUST FUND INCOME-SPOUSE       
ER73515    AMOUNT TRUST INCOME-SPOUSE              
ER73516    AMOUNT TRUST FUND INCOME PER-SPOUSE     
ER73517    ACCURACY OF TRUST FUND INCOME-SPOUSE    
ER73518    TRUST INCOME JAN-SPOUSE                 
ER73519    TRUST INCOME FEB-SPOUSE                 
ER73520    TRUST INCOME MAR-SPOUSE                 
ER73521    TRUST INCOME APR-SPOUSE                 
ER73522    TRUST INCOME MAY-SPOUSE                 
ER73523    TRUST INCOME JUN-SPOUSE                 
ER73524    TRUST INCOME JUL-SPOUSE                 
ER73525    TRUST INCOME AUG-SPOUSE                 
ER73526    TRUST INCOME SEP-SPOUSE                 
ER73527    TRUST INCOME OCT-SPOUSE                 
ER73528    TRUST INCOME NOV-SPOUSE                 
ER73529    TRUST INCOME DEC-SPOUSE                 
ER73530    G25ECKPT WTR WAGES/SALARY LE $25,000-SP 
ER73531    G25E WTR RECEIVED ADC/TANF-SPOUSE       
ER73532    AMOUNT ADC/TANF INCOME-SPOUSE           
ER73533    AMOUNT ADC/TANF INCOME PER-SPOUSE       
ER73534    ACCURACY OF ADC/TANF INCOME-SPOUSE      
ER73535    ADC/TANF INCOME JAN-SPOUSE              
ER73536    ADC/TANF INCOME FEB-SPOUSE              
ER73537    ADC/TANF INCOME MAR-SPOUSE              
ER73538    ADC/TANF INCOME APR-SPOUSE              
ER73539    ADC/TANF INCOME MAY-SPOUSE              
ER73540    ADC/TANF INCOME JUN-SPOUSE              
ER73541    ADC/TANF INCOME JUL-SPOUSE              
ER73542    ADC/TANF INCOME AUG-SPOUSE              
ER73543    ADC/TANF INCOME SEP-SPOUSE              
ER73544    ADC/TANF INCOME OCT-SPOUSE              
ER73545    ADC/TANF INCOME NOV-SPOUSE              
ER73546    ADC/TANF INCOME DEC-SPOUSE              
ER73547    G25F WHETHER RECEIVED SSI INCOME-SPOUSE 
ER73548    SPOUSE SSI SELF/SOMEONE ELSE/BOTH       
ER73549    AMOUNT SSI INCOME-SPOUSE                
ER73550    AMOUNT SSI INCOME PER-SPOUSE            
ER73551    ACCURACY OF SSI INCOME-SPOUSE           
ER73552    SSI INCOME JAN-SPOUSE                   
ER73553    SSI INCOME FEB-SPOUSE                   
ER73554    SSI INCOME MAR-SPOUSE                   
ER73555    SSI INCOME APR-SPOUSE                   
ER73556    SSI INCOME MAY-SPOUSE                   
ER73557    SSI INCOME JUN-SPOUSE                   
ER73558    SSI INCOME JUL-SPOUSE                   
ER73559    SSI INCOME AUG-SPOUSE                   
ER73560    SSI INCOME SEP-SPOUSE                   
ER73561    SSI INCOME OCT-SPOUSE                   
ER73562    SSI INCOME NOV-SPOUSE                   
ER73563    SSI INCOME DEC-SPOUSE                   
ER73564    G25G WTR RECEIVED OTHER WELFARE-SPOUSE  
ER73565    AMOUNT OTHER WELFARE INCOME-SPOUSE      
ER73566    AMOUNT OTHER WELFARE INCOME PER-SPOUSE  
ER73567    ACCURACY OF OTHER WELFARE INCOME-SPOUSE 
ER73568    OTHER WELFARE INCOME JAN-SPOUSE         
ER73569    OTHER WELFARE INCOME FEB-SPOUSE         
ER73570    OTHER WELFARE INCOME MAR-SPOUSE         
ER73571    OTHER WELFARE INCOME APR-SPOUSE         
ER73572    OTHER WELFARE INC OME MAY-SPOUSE        
ER73573    OTHER WELFARE INCOME JUNE-SPOUSE        
ER73574    OTHER WELFARE INCOME JUL-SPOUSE         
ER73575    OTHER WELFARE INCOME AUG-SPOUSE         
ER73576    OTHER WELFARE INCOME SEP-SPOUSE         
ER73577    OTHER WELFARE INCOME OCT-SPOUSE         
ER73578    OTHER WELFARE INCOME NOV-SPOUSE         
ER73579    OTHER WELFARE INCOME DEC-SPOUSE         
ER73580    G37A WTR VA PENSION SVCMEN TYPE - SP    
ER73581    G37A WTR VA PENSION DISABILITY TYPE - SP
ER73582    G37A WTR VA PENSION GI BILL TYPE-SPOUSE 
ER73583    G37A WTR VA PENSION OTHER TYPE-SPOUSE   
ER73584    AMOUNT VA PENSION INCOME-SPOUSE         
ER73585    AMOUNT VA PENSION INCOME PER-SPOUSE     
ER73586    ACCURACY OF VA PENSION INCOME-SPOUSE    
ER73587    VA PENSION INCOME JAN-SPOUSE            
ER73588    VA PENSION INCOME FEB-SPOUSE            
ER73589    VA PENSION INCOME MAR-SPOUSE            
ER73590    VA PENSION INCOME APR-SPOUSE            
ER73591    VA PENSION INCOME MAY-SPOUSE            
ER73592    VA PENSION INCOME JUN-SPOUSE            
ER73593    VA PENSION INCOME JUL-SPOUSE            
ER73594    VA PENSION INCOME AUG-SPOUSE            
ER73595    VA PENSION INCOME SEP-SPOUSE            
ER73596    VA PENSION INCOME OCT-SPOUSE            
ER73597    VA PENSION INCOME NOV-SPOUSE            
ER73598    VA PENSION INCOME DEC-SPOUSE            
ER73599    G40A WTR NONVA RETIREMENT-SPOUSE        
ER73600    AMOUNT NONVA RETIREMENT-SPOUSE          
ER73601    AMOUNT NONVA RETIREMENT PER-SPOUSE      
ER73602    ACCURACY OF NONVA RETIREMENT-SPOUSE     
ER73603    NONVA RETIREMENT INCOME JAN-SPOUSE      
ER73604    NONVA RETIREMENT INCOME FEB-SPOUSE      
ER73605    NONVA RETIREMENT INCOME MAR-SPOUSE      
ER73606    NONVA RETIREMENT INCOME APR-SPOUSE      
ER73607    NONVA RETIREMENT INCOME MAY-SPOUSE      
ER73608    NONVA RETIREMENT INCOME JUN-SPOUSE      
ER73609    NONVA RETIREMENT INCOME JUL-SPOUSE      
ER73610    NONVA RETIREMENT INCOME AUG-SPOUSE      
ER73611    NONVA RETIREMENT INCOME SEP-SPOUSE      
ER73612    NONVA RETIREMENT INCOME OCT-SPOUSE      
ER73613    NONVA RETIREMENT INCOME NOV-SPOUSE      
ER73614    NONVA RETIREMENT INCOME DEC-SPOUSE      
ER73615    G40B WTR ANNUITIES INCOME-SPOUSE        
ER73616    AMOUNT ANNUITIES INCOME-SPOUSE          
ER73617    AMOUNT ANNUITIES INCOME PER-SPOUSE      
ER73618    ACCURACY OF ANNUITIES INCOME-SPOUSE     
ER73619    ANNUITIES INCOME JAN-SPOUSE             
ER73620    ANNUITIES INCOME FEB-SPOUSE             
ER73621    ANNUITIES INCOME MAR-SPOUSE             
ER73622    ANNUITIES INCOME APR-SPOUSE             
ER73623    ANNUITIES INCOME MAY-SPOUSE             
ER73624    ANNUITIES INCOME JUN-SPOUSE             
ER73625    ANNUITIES INCOME JUL-SPOUSE             
ER73626    ANNUITIES INCOME AUG-SPOUSE             
ER73627    ANNUITIES INCOME SEP-SPOUSE             
ER73628    ANNUITIES INCOME OCT-SPOUSE             
ER73629    ANNUITIES INCOME NOV-SPOUSE             
ER73630    ANNUITIES INCOME DEC-SPOUSE             
ER73631    G40C WTR OTR PENSION INCOME-SPOUSE      
ER73632    AMOUNT OTR PENSION INCOME-SPOUSE        
ER73633    AMOUNT OTR PENSION INCOME PER-SPOUSE    
ER73634    ACCURACY OF OTR PENSION INCOME-SPOUSE   
ER73635    OTR PENSION INCOME JAN-SPOUSE           
ER73636    OTR PENSION INCOME FEB-SPOUSE           
ER73637    OTR PENSION INCOME MAR-SPOUSE           
ER73638    OTR PENSION INCOME APR-SPOUSE           
ER73639    OTR PENSION INCOME MAY-SPOUSE           
ER73640    OTR PENSION INCOME JUN-SPOUSE           
ER73641    OTR PENSION INCOME JUL-SPOUSE           
ER73642    OTR PENSION INCOME AUG-SPOUSE           
ER73643    OTR PENSION INCOME SEP-SPOUSE           
ER73644    OTR PENSION INCOME OCT-SPOUSE           
ER73645    OTR PENSION INCOME NOV-SPOUSE           
ER73646    OTR PENSION INCOME DEC-SPOUSE           
ER73647    G40D WHETHER IRA INCOME-SPOUSE          
ER73648    AMOUNT IRA INCOME-SPOUSE                
ER73649    AMOUNT IRA INCOME PER-SPOUSE            
ER73650    ACCURACY OF IRA INCOME-SPOUSE           
ER73651    IRA INCOME JAN-SPOUSE                   
ER73652    IRA INCOME FEB-SPOUSE                   
ER73653    IRA INCOME MAR-SPOUSE                   
ER73654    IRA INCOME APR-SPOUSE                   
ER73655    IRA INCOME MAY-SPOUSE                   
ER73656    IRA INCOME JUN-SPOUSE                   
ER73657    IRA INCOME JUL-SPOUSE                   
ER73658    IRA INCOME AUG-SPOUSE                   
ER73659    IRA INCOME SEP-SPOUSE                   
ER73660    IRA INCOME OCT-SPOUSE                   
ER73661    IRA INCOME NOV-SPOUSE                   
ER73662    IRA INCOME DEC-SPOUSE                   
ER73663    G43 NUM OF NON VA PENSN-SPOUSE          
ER73664    G44A WTR UNEMPLOYMENT INCOME-SPOUSE     
ER73665    AMOUNT UNEMPLOYMENT INCOME-SPOUSE       
ER73666    AMOUNT UNEMPLOYMENT INCOME PER-SPOUSE   
ER73667    ACCURACY OF UNEMPLOYMENT INCOME-SPOUSE  
ER73668    UNEMPLOYMENT INCOME JAN-SPOUSE          
ER73669    UNEMPLOYMENT INCOME FEB-SPOUSE          
ER73670    UNEMPLOYMENT INCOME MAR-SPOUSE          
ER73671    UNEMPLOYMENT INCOME APR-SPOUSE          
ER73672    UNEMPLOYMENT INCOME MAY-SPOUSE          
ER73673    UNEMPLOYMENT INCOME JUN-SPOUSE          
ER73674    UNEMPLOYMENT INCOME JUL-SPOUSE          
ER73675    UNEMPLOYMENT INCOME AUG-SPOUSE          
ER73676    UNEMPLOYMENT INCOME SEP-SPOUSE          
ER73677    UNEMPLOYMENT INCOME OCT-SPOUSE          
ER73678    UNEMPLOYMENT INCOME NOV-SPOUSE          
ER73679    UNEMPLOYMENT INCOME DEC-SPOUSE          
ER73680    G44B WHETHER WORKERS COMP SPOUSE        
ER73681    WORKERS COMP INCOME-SPOUSE              
ER73682    WORKERS COMP INCOME PER-SPOUSE          
ER73683    ACCURACY OF WORKERS COMP INCOME-SPOUSE  
ER73684    WORKERS COMP INCOME JAN-SPOUSE          
ER73685    WORKERS COMP INCOME FEB-SPOUSE          
ER73686    WORKERS COMP INCOME MAR-SPOUSE          
ER73687    WORKERS COMP INCOME APR-SPOUSE          
ER73688    WORKERS COMP INCOME MAY-SPOUSE          
ER73689    WORKERS COMP INCOME JUN-SPOUSE          
ER73690    WORKERS COMP INCOME JUL-SPOUSE          
ER73691    WORKERS COMP INCOME AUG-SPOUSE          
ER73692    WORKERS COMP INCOME SEP-SPOUSE          
ER73693    WORKERS COMP INCOME OCT-SPOUSE          
ER73694    WORKERS COMP INCOME NOV-SPOUSE          
ER73695    WORKERS COMP INCOME DEC-SPOUSE          
ER73696    G44C WTR RECD CHILD SUPPORT INCOME-SP   
ER73697    AMOUNT CHILD SUPPORT INCOME-SPOUSE      
ER73698    AMOUNT CHILD SUPPORT INCOME PER-SPOUSE  
ER73699    ACCURACY OF CHILD SUPPORT INCOME-SPOUSE 
ER73700    CHILD SUPPORT INCOME JAN-SPOUSE         
ER73701    CHILD SUPPORT INCOME FEB-SPOUSE         
ER73702    CHILD SUPPORT INCOME MAR-SPOUSE         
ER73703    CHILD SUPPORT INCOME APR-SPOUSE         
ER73704    CHILD SUPPORT INCOME MAY-SPOUSE         
ER73705    CHILD SUPPORT INCOME JUN-SPOUSE         
ER73706    CHILD SUPPORT INCOME JUL-SPOUSE         
ER73707    CHILD SUPPORT INCOME AUG-SPOUSE         
ER73708    CHILD SUPPORT INCOME SEP-SPOUSE         
ER73709    CHILD SUPPORT INCOME OCT-SPOUSE         
ER73710    CHILD SUPPORT INCOME NOV-SPOUSE         
ER73711    CHILD SUPPORT INCOME DEC-SPOUSE         
ER73712    G44D WTR ALIMONY INCOME-SPOUSE          
ER73713    AMOUNT ALIMONY INCOME-SPOUSE            
ER73714    AMOUNT ALIMONY INCOME PER-SPOUSE        
ER73715    ACCURACY OF ALIMONY INCOME-SPOUSE       
ER73716    ALIMONY INCOME JAN-SPOUSE               
ER73717    ALIMONY INCOME FEB-SPOUSE               
ER73718    ALIMONY INCOME MAR-SPOUSE               
ER73719    ALIMONY INCOME APR-SPOUSE               
ER73720    ALIMONY INCOME MAY-SPOUSE               
ER73721    ALIMONY INCOME JUN-SPOUSE               
ER73722    ALIMONY INCOME JUL-SPOUSE               
ER73723    ALIMONY INCOME AUG-SPOUSE               
ER73724    ALIMONY INCOME SEP-SPOUSE               
ER73725    ALIMONY INCOME OCT-SPOUSE               
ER73726    ALIMONY INCOME NOV-SPOUSE               
ER73727    ALIMONY INCOME DEC-SPOUSE               
ER73728    G44E WTR HELP FROM RELATIVES-SPOUSE     
ER73729    AMOUNT HELP FROM RELATIVES-SPOUSE       
ER73730    AMOUNT HELP FROM RELATIVES PER-SPOUSE   
ER73731    ACCURACY OF HELP FROM RELATIVES-SPOUSE  
ER73732    HELP FROM RELATIVES JAN-SPOUSE          
ER73733    HELP FROM RELATIVES FEB-SPOUSE          
ER73734    HELP FROM RELATIVES MAR-SPOUSE          
ER73735    HELP FROM RELATIVES APR-SPOUSE          
ER73736    HELP FROM RELATIVES MAY-SPOUSE          
ER73737    HELP FROM RELATIVES JUNE-SPOUSE         
ER73738    HELP FROM RELATIVES JULY-SPOUSE         
ER73739    HELP FROM RELATIVES AUG-SPOUSE          
ER73740    HELP FROM RELATIVES SEP-SPOUSE          
ER73741    HELP FROM RELATIVES OCT-SPOUSE          
ER73742    HELP FROM RELATIVES NOV-SPOUSE          
ER73743    HELP FROM RELATIVES DEC-SPOUSE          
ER73744    G44F WTR HELP FROM FRIENDS-SPOUSE       
ER73745    AMOUNT HELP FROM FRIENDS-SPOUSE         
ER73746    AMOUNT HELP FROM FRIENDS PER-SPOUSE     
ER73747    ACCURACY OF HELP FROM FRIENDS-SPOUSE    
ER73748    HELP FROM FRIENDS JAN-SPOUSE            
ER73749    HELP FROM FRIENDS FEB-SPOUSE            
ER73750    HELP FROM FRIENDS MAR-SPOUSE            
ER73751    HELP FROM FRIENDS APR-SPOUSE            
ER73752    HELP FROM FRIENDS MAY-SPOUSE            
ER73753    HELP FROM FRIENDS JUN-SPOUSE            
ER73754    HELP FROM FRIENDS JUL-SPOUSE            
ER73755    HELP FROM FRIENDS AUG-SPOUSE            
ER73756    HELP FROM FRIENDS SEP-SPOUSE            
ER73757    HELP FROM FRIENDS OCT-SPOUSE            
ER73758    HELP FROM FRIENDS NOV-SPOUSE            
ER73759    HELP FROM FRIENDS DEC-SPOUSE            
ER73760    G44G WTR RECEIVED OTHER INCOME-SPOUSE   
ER73761    AMOUNT OTHER INCOME-SPOUSE              
ER73762    AMOUNT OTHER INCOME PER-SPOUSE          
