disease,label,n,A_full,A_diseased_miRNAs,signal_term,signal_term_half,theory_min_err_full,theory_min_err_stat,theory_min_err_half,case_min_err_llr,case_min_err_l1,random_min_err_llr,random_min_err_l1,case_auc_llr,case_auc_l1,random_auc_llr,random_auc_l1,case_min_err_llr_std,case_min_err_l1_std,random_min_err_llr_std,random_min_err_l1_std,case_auc_llr_std,case_auc_l1_std,random_auc_llr_std,random_auc_l1_std,n_ok_case_llr,n_ok_case_l1,n_ok_random_llr,n_ok_random_l1,iterations
D1,Wilms Tumor,25,124,59,12.566062422476975,11.42108696740237,0.0,0.0,0.0,0.09017054054054054,0.20085459459459457,0.15681361111111114,0.3149844444444444,0.9601406702702702,0.8565666378378378,0.9023109333333333,0.7069120888888889,0.02281519890136918,0.030166979932862707,0.036619700407593915,0.03013593922703522,0.014130698424052684,0.027883250969852107,0.03334593541586731,0.03457104060596602,2000,2000,2000,2000,2000
D1,Wilms Tumor,30,124,59,12.566062422476975,11.42108696740237,0.0,0.0,0.0,0.10214873873873873,0.20618594594594594,0.18182136871508378,0.329035800744879,0.9526395675675676,0.8522894054054054,0.8806487709497207,0.6906522532588455,0.022360766077285692,0.027662000187774843,0.03689619511569575,0.02730346789917125,0.01481751232379839,0.025860928759431988,0.03621703623958423,0.031143236107943107,2000,2000,2000,2000,2000
D1,Wilms Tumor,40,124,59,12.566062422476975,11.42108696740237,0.0,0.0,0.0,0.12113702702702701,0.2129316216216216,0.22121370056497175,0.34967464689265537,0.941218581081081,0.8478489189189189,0.8431188983050847,0.6681753107344633,0.019789634008394445,0.024033351098918364,0.03566801265891021,0.024360880141057455,0.014490642235513666,0.021510642147411305,0.038792930290410046,0.028407793624791112,2000,2000,2000,2000,2000
D1,Wilms Tumor,50,124,59,12.566062422476975,11.42108696740237,0.0,0.0,0.0,0.13376635135135137,0.21688364864864865,0.24824428571428572,0.3639702857142857,0.932903545945946,0.8451911135135135,0.8164153142857142,0.6523589028571429,0.01691799821884637,0.020579014285852182,0.03391099328371031,0.022290346494270603,0.012758088850842012,0.017873136216816243,0.03852123272163788,0.025578044276998616,2000,2000,2000,2000,2000
D1,Wilms Tumor,60,124,59,12.566062422476975,11.42108696740237,0.0,0.0,0.0,0.1434636936936937,0.2184350675675676,0.26833853564547205,0.3756824662813102,0.9259774324324324,0.8433627297297297,0.7950005298651253,0.6401225240847784,0.015359166833575133,0.01742351155418794,0.033013135398667834,0.021054751600168706,0.011992959322620459,0.015435478719387781,0.0391407421563393,0.02422765132736066,2000,2000,2000,2000,2000
D1,Wilms Tumor,70,124,59,12.566062422476975,11.42108696740237,0.0,0.0,0.0,0.15059362934362935,0.22025528957528956,0.2843051169590643,0.384297410192147,0.9215880154440155,0.8419386023166023,0.778275530492899,0.6302468922305765,0.013576821679667476,0.014827068004956579,0.03242647174393855,0.018894856198346452,0.010746750113080817,0.013357497214379585,0.03873713798972978,0.0218743779312275,2000,2000,2000,2000,2000
D1,Wilms Tumor,80,124,59,12.566062422476975,11.42108696740237,0.0,0.0,0.0,0.15627709459459457,0.22080907094594596,0.2978901072485207,0.39031573594674557,0.9173125945945947,0.8411303851351352,0.7625575813609469,0.623520051775148,0.011868829792380048,0.012638732084535746,0.031195055533257538,0.017908069623070507,0.009303733486486004,0.011225346356828234,0.03795736015225364,0.020694777835486115,2000,2000,2000,2000,2000
D1,Wilms Tumor,90,124,59,12.566062422476975,11.42108696740237,0.0,0.0,0.0,0.16172486486486484,0.22143280780780783,0.30659447771124415,0.39566290751829675,0.9136072852852853,0.8404789189189189,0.7527995874916833,0.6175842248835661,0.009839659908695635,0.010364009292220224,0.029688005481970463,0.016996190858783605,0.007971161405506667,0.009169485394148283,0.03599026551081787,0.019762623322480313,2000,2000,2000,2000,2000
D1,Wilms Tumor,100,124,59,12.566062422476975,11.42108696740237,0.0,0.0,0.0,0.16664425675675676,0.22244351351351352,0.3150030303030303,0.40096,0.9103961783783783,0.8395977621621621,0.7431293272727273,0.6116600181818181,0.00816078486254574,0.008431670968306958,0.029471539277945796,0.01585932198580683,0.0067795859959900616,0.007431152840486141,0.03627957428392262,0.018471354162412655,2000,2000,2000,2000,2000
D1,Wilms Tumor,110,124,59,12.566062422476975,11.42108696740237,0.0,0.0,0.0,0.1710867936117936,0.22338744471744473,0.3224336865588399,0.4044164947016174,0.9078219803439804,0.8389842653562652,0.7343971890686002,0.6075818683770217,0.006002912190153665,0.006142141813866891,0.027804686154858163,0.015643928608078842,0.0053121704653089265,0.005399541790266727,0.03460752274704099,0.018536452714893008,2000,2000,2000,2000,2000
D1,Wilms Tumor,124,124,59,12.566062422476975,11.42108696740237,0.0,0.014896740491780969,0.0,0.17670008718395816,0.22342197035745415,0.3317076185010672,0.4090995907333575,0.9046207497820403,0.838753269398431,0.7238569630703556,0.6023102170673753,0.0,5.552503422540543e-17,0.02714319551472518,0.01452110331627639,1.1105006845081086e-16,2.221001369016217e-16,0.03402799057313495,0.01743733418670612,2000,2000,2000,2000,2000
D14,Ovarian Cancer,5,24,118,25.488165138919015,23.498773353957183,0.0,0.0,0.0,,0.07653829268292683,0.00034187702767329734,0.13351323529411763,,0.9475949268292683,0.9997750979099618,0.887723137254902,,0.05338287994061334,0.0011164654734730237,0.054536996411434974,,0.042660492997374504,0.0006704837809755878,0.05672311327787401,0,2000,1517,2000,2000
D14,Ovarian Cancer,8,24,118,25.488165138919015,23.498773353957183,0.0,0.0,0.0,,0.10097219512195124,0.011413678014742133,0.19544933013765978,,0.9368415853658537,0.9954214631246501,0.8288931907571288,,0.04763625384768761,0.015009628858974526,0.04803940742229764,,0.036019100947585245,0.005602392342636102,0.05220537532125925,0,2000,1793,2000,2000
D14,Ovarian Cancer,10,24,118,25.488165138919015,23.498773353957183,0.0,0.0,0.0,0.007559268292682928,0.11288439024390245,0.02984125615763547,0.22334790640394087,0.9978536585365854,0.931287512195122,0.9874801477832511,0.8017618719211823,0.005858252278806507,0.047675549885646464,0.023508455665883984,0.04421168164555018,0.0017240521739070726,0.03533182240589879,0.010604100633069383,0.04877921658997333,2000,2000,2000,2000,2000
D14,Ovarian Cancer,15,24,118,25.488165138919015,23.498773353957183,0.0,0.0,0.0,0.029810325203252035,0.11915487804878049,0.07966295379537953,0.26950033003300333,0.9936494634146341,0.9306817886178862,0.9591453465346536,0.7540220792079207,0.012536337944721067,0.04055231673157209,0.03233124123112573,0.03683221150220259,0.0029994008242496505,0.026644617774208845,0.02160673234285759,0.04088279594275036,2000,2000,2000,2000,2000
D14,Ovarian Cancer,20,24,118,25.488165138919015,23.498773353957183,0.0,0.0,0.0,0.046428475609756104,0.11544432926829268,0.12258165422885571,0.29694465174129353,0.9898320731707316,0.9311168780487805,0.9290891791044775,0.7251292288557214,0.01075265524014089,0.028348586974880647,0.03528344228229985,0.03310806923082917,0.0025618729134849545,0.01727729202659289,0.028697061599651418,0.03809491097741563,2000,2000,2000,2000,2000
D14,Ovarian Cancer,24,24,118,25.488165138919015,23.498773353957183,0.0,0.0,0.0,0.05093495934959347,0.10376016260162602,0.14840604187479187,0.3130030906593407,0.986991869918699,0.9329674796747972,0.9088255702630703,0.7084332126207127,2.7762517112702714e-17,0.0,0.03618888435783485,0.03115183582085334,2.221001369016217e-16,3.3315020535243255e-16,0.03250204479984086,0.035545085605778945,2000,2000,2000,2000,2000
